Date,Open,Close,High,Low,Volume
2017/11/7,4022.4018,4054.2465,4064.2178,4021.3639,15211666300
2017/11/8,4051.4935,4048.0057,4089.1457,4040.5772,15082771900
2017/11/9,4043.0663,4075.8998,4076.6102,4038.4004,12105633500
2017/11/10,4070.2763,4111.9112,4116.7142,4067.657,14181716500
2017/11/13,4115.5507,4128.0733,4137.6455,4115.5507,15144630900
2017/11/14,4129.2736,4099.351,4133.5462,4086.8903,14323693600
2017/11/15,4084.2131,4073.6696,4102.8071,4055.7167,12063569600
2017/11/16,4063.4943,4105.0122,4107.617,4062.2734,12138441400
2017/11/17,4094.0787,4120.8508,4122.3756,4081.3723,19178411900
2017/11/20,4093.734,4143.8334,4144.5144,4060.9636,13744725800
2017/11/21,4131.8482,4217.7015,4220.2636,4129.9783,18035082100
2017/11/22,4228.3721,4227.5666,4260.6395,4191.145,18647700300
2017/11/23,4213.3781,4102.3966,4214.1895,4086.9018,17814722800
2017/11/24,4089.4723,4104.2034,4116.5942,4057.4894,13085804000
2017/11/27,4088.9318,4049.9475,4088.9318,4037.1457,14345526800
2017/11/28,4034.2057,4055.8235,4056.4753,4010.2955,10205809500
2017/11/29,4061.3545,4053.7529,4069.2418,4004.687,12455364200
2017/11/30,4034.0091,4006.0993,4052.797,3988.0018,10798334500
2017/12/1,4003.5604,3998.1365,4027.1064,3984.3776,9738691300
2017/12/4,3989.0466,4018.8571,4032.9859,3982.3182,10264721900
2017/12/5,4007.9361,4040.1704,4045.9331,4006.5432,15408707600
2017/12/6,4027.1231,4015.8211,4031.7533,3964.8087,10928620500
2017/12/7,4003.5826,3971.0569,4017.9465,3955.9939,9025404500
2017/12/8,3962.8288,4003.3792,4014.1387,3955.44,8928286100
2017/12/11,4006.8784,4069.4997,4069.4997,4005.2687,9714894600
2017/12/12,4068.5053,4016.0163,4070.1503,4015.4546,8433871800
2017/12/13,4013.8319,4050.0927,4052.6878,4004.7436,7754613100
2017/12/14,4050.9028,4026.1516,4057.6245,4013.8546,8076886200
2017/12/15,4018.7313,3980.8558,4020.2668,3974.9277,8904438900
